iter	Passed	Remaining
0	8	1751
1	16	1607
2	24	1582
3	32	1600
4	41	1600
5	49	1589
6	56	1559
7	63	1530
8	71	1515
9	79	1503
10	87	1511
11	96	1512
12	104	1508
13	112	1500
14	120	1487
15	128	1476
16	135	1463
17	143	1453
18	151	1442
19	160	1440
20	167	1429
21	176	1428
22	185	1426
23	193	1417
24	201	1412
25	210	1408
26	219	1404
27	227	1397
28	236	1394
29	245	1389
30	255	1390
31	264	1388
32	273	1385
33	282	1380
34	291	1374
35	302	1375
36	311	1374
37	321	1370
38	330	1366
39	342	1369
40	351	1362
41	360	1357
42	370	1352
43	378	1343
44	388	1337
45	397	1329
46	405	1320
47	415	1315
48	424	1308
49	433	1301
50	442	1292
51	451	1285
52	460	1276
53	470	1271
54	478	1262
55	488	1256
56	498	1249
57	508	1244
58	518	1239
59	528	1233
60	537	1225
61	546	1215
62	555	1207
63	564	1199
64	573	1191
65	583	1184
66	594	1179
67	603	1170
68	611	1161
69	620	1152
70	629	1142
71	638	1134
72	647	1126
73	656	1118
74	666	1111
75	676	1103
76	684	1093
77	694	1085
78	703	1077
79	712	1069
80	722	1061
81	732	1054
82	742	1046
83	752	1038
84	760	1029
85	769	1020
86	778	1010
87	787	1002
88	796	993
89	806	985
90	816	977
91	825	968
92	834	959
93	842	950
94	851	941
95	861	933
96	871	924
97	880	916
98	889	907
99	899	899
100	908	890
101	916	880
102	925	871
103	933	861
104	942	852
105	952	844
106	961	836
107	971	827
108	980	818
109	989	809
110	997	800
111	1007	791
112	1016	782
113	1026	774
114	1035	765
115	1044	756
116	1053	747
117	1063	739
118	1072	729
119	1083	722
120	1095	715
121	1107	708
122	1121	701
123	1133	694
124	1144	686
125	1154	677
126	1166	670
127	1178	662
128	1195	657
129	1208	650
130	1219	642
131	1230	634
132	1241	625
133	1251	616
134	1261	607
135	1271	598
136	1281	589
137	1290	579
138	1299	570
139	1308	560
140	1317	551
141	1327	542
142	1338	533
143	1349	524
144	1358	515
145	1367	505
146	1376	496
147	1385	486
148	1398	478
149	1407	469
150	1417	459
151	1426	450
152	1436	441
153	1444	431
154	1453	421
155	1462	412
156	1470	402
157	1479	393
158	1488	383
159	1497	374
160	1508	365
161	1517	355
162	1527	346
163	1536	337
164	1544	327
165	1554	318
166	1563	309
167	1574	299
168	1584	290
169	1593	281
170	1602	271
171	1611	262
172	1620	252
173	1629	243
174	1638	234
175	1647	224
176	1657	215
177	1667	206
178	1676	196
179	1685	187
180	1696	178
181	1705	168
182	1715	159
183	1725	150
184	1735	140
185	1745	131
186	1753	121
187	1762	112
188	1771	103
189	1780	93
190	1789	84
191	1798	74
192	1808	65
193	1817	56
194	1826	46
195	1835	37
196	1844	28
197	1853	18
198	1862	9
199	1871	0
